client,month,closed_won,new_pipeline,meetings_held,meetings_scheduled
snoball,2026-01,53788,369964,39,99
snoball,2026-02,21576,195740,27,64
snoball,2026-03,73152,228540,28,46
snoball,2026-04,130000,246247,34,33
snoball,2026-05,64000,298752,42,56
snoball,2026-06,72000,215440,29,47
flax,2026-02,0,132000,2,4
flax,2026-03,0,3000000,8,12
flax,2026-04,0,1206000,6,8
flax,2026-05,105000,156000,2,4
flax,2026-06,25000,1092000,4,5
yeticonnect,2026-05,0,10000,1,3
yeticonnect,2026-06,0,30000,2,7
screensteps,2026-04,0,,,
screensteps,2026-05,0,,,
screensteps,2026-06,0,,,
secondchair,2026-03,0,36000,12,29
secondchair,2026-04,21000,18000,6,14
roster,2026-04,0,7500,1,3
roster,2026-05,26066,144000,13,20
arya,2026-01,0,48000,3,9
arya,2026-02,16000,32000,2,7
